2026-02-11 20:54:16,371 - INFO - Using device: cuda
2026-02-11 20:54:17,847 - INFO - Training for 100 epochs...
2026-02-11 20:54:19,265 - DEBUG - Step 1, Step loss = 0.0073, Image loss = 0.0073, Grad loss = 0.0000
2026-02-11 20:54:19,291 - DEBUG - Step 2, Step loss = 0.0065, Image loss = 0.0065, Grad loss = 0.0000
2026-02-11 20:54:19,318 - DEBUG - Step 3, Step loss = 0.0062, Image loss = 0.0062, Grad loss = 0.0000
2026-02-11 20:54:19,338 - DEBUG - Step 4, Step loss = 0.0082, Image loss = 0.0082, Grad loss = 0.0000
2026-02-11 20:54:19,361 - DEBUG - Step 5, Step loss = 0.0062, Image loss = 0.0062, Grad loss = 0.0000
2026-02-11 20:54:19,389 - DEBUG - Step 6, Step loss = 0.0069, Image loss = 0.0069, Grad loss = 0.0000
2026-02-11 20:54:19,418 - DEBUG - Step 7, Step loss = 0.0064, Image loss = 0.0064, Grad loss = 0.0000
2026-02-11 20:54:19,444 - DEBUG - Step 8, Step loss = 0.0087, Image loss = 0.0087, Grad loss = 0.0000
2026-02-11 20:54:19,464 - DEBUG - Step 9, Step loss = 0.0068, Image loss = 0.0068, Grad loss = 0.0000
2026-02-11 20:54:19,492 - DEBUG - Step 10, Step loss = 0.0078, Image loss = 0.0078, Grad loss = 0.0000
2026-02-11 20:54:19,519 - DEBUG - Step 11, Step loss = 0.0075, Image loss = 0.0075, Grad loss = 0.0000
2026-02-11 20:54:19,540 - DEBUG - Step 12, Step loss = 0.0073, Image loss = 0.0073, Grad loss = 0.0000
2026-02-11 20:54:19,573 - DEBUG - Step 13, Step loss = 0.0065, Image loss = 0.0065, Grad loss = 0.0000
2026-02-11 20:54:19,595 - DEBUG - Step 14, Step loss = 0.0077, Image loss = 0.0077, Grad loss = 0.0000
2026-02-11 20:54:19,624 - DEBUG - Step 15, Step loss = 0.0070, Image loss = 0.0070, Grad loss = 0.0000
2026-02-11 20:54:19,645 - DEBUG - Step 16, Step loss = 0.0061, Image loss = 0.0061, Grad loss = 0.0000
2026-02-11 20:54:19,673 - DEBUG - Step 17, Step loss = 0.0074, Image loss = 0.0074, Grad loss = 0.0000
2026-02-11 20:54:19,700 - DEBUG - Step 18, Step loss = 0.0064, Image loss = 0.0064, Grad loss = 0.0000
2026-02-11 20:54:19,719 - DEBUG - Step 19, Step loss = 0.0067, Image loss = 0.0067, Grad loss = 0.0000
2026-02-11 20:54:19,739 - DEBUG - Step 20, Step loss = 0.0062, Image loss = 0.0062, Grad loss = 0.0000
2026-02-11 20:54:19,762 - DEBUG - Step 21, Step loss = 0.0062, Image loss = 0.0062, Grad loss = 0.0000
2026-02-11 20:54:19,785 - DEBUG - Step 22, Step loss = 0.0074, Image loss = 0.0074, Grad loss = 0.0000
2026-02-11 20:54:19,805 - DEBUG - Step 23, Step loss = 0.0061, Image loss = 0.0061, Grad loss = 0.0000
